day_of_year,lo,hi,mid
122,16600631.3,21461761.6286,20030155.2
123,16733430.4667,21462943.5571,20029446.8
124,16840815.9333,21467072.8286,20025632.0667
125,17003745.4,21461188.9,20029817.5333
126,17109068.0,21456257.6,20041100.2
127,17197110.2,21443464.3,20050187.8
128,17275433.2,21437556.4,20066360.4
129,17345684.6,21430176.7,20083056.6
130,17410696.6,21434089.0667,20095309.7
131,17474418.6,21466510.8523,20115108.0261
132,17525882.8,21497033.7503,20151818.7742
133,17572376.6,21523958.9815,20183772.7222
134,17606446.6,21572494.2128,20202089.5053
135,17627893.1039,21610960.1641,20228970.9273
136,17628199.3554,21633314.5606,20264292.0494
137,17637014.2068,21658727.1642,20300564.3714
138,17644750.2583,21682525.5678,20345091.8934
139,17652782.9764,21719592.1047,20360929.8
140,17654255.5612,21753768.1205,20342750.0
141,17655635.7959,21771209.6718,20318725.2
142,17655341.2307,21793603.6231,20296441.0
143,17650043.4655,21828765.7077,20273582.4
144,17639643.9003,21866209.3923,20248970.4
145,17628711.485,21897230.9846,20213280.4
146,17614892.2031,21913995.7188,20179471.8
147,17606544.5213,21920783.453,20147178.2
148,17596734.0394,21934347.4872,20108499.2
149,17597822.3575,21958714.1214,20070785.2
150,17587383.0756,21988231.9756,20042037.6
151,17580084.1937,22031354.4297,20024657.0
152,17565384.9118,22074057.5839,20003654.0
153,17528125.4299,22089722.9381,20053380.6
154,17504420.8814,22112780.6923,20028615.2
155,17488400.3328,22135421.7265,19989685.6
156,17470918.7843,22144833.7607,19946882.2
157,17434345.9024,22175205.339,19903171.6
158,17392922.6205,22195294.8617,19853993.4
159,17345619.5386,22215776.1845,19800492.4
160,17297015.4567,22232088.9073,19745420.6
161,17245198.9748,22248823.73,19681589.6
162,17195449.0929,22274328.3528,19615565.0
163,17145611.611,22288556.7756,19548601.2
164,17082423.5291,22301019.5642,19483143.6
165,17008511.4472,22315100.0528,19408216.4
166,16939638.7654,22314326.7413,19335591.4
167,16870364.0835,22310610.4299,19266470.8
168,16792708.8682,22303557.7185,19190033.8
169,16713825.453,22294882.8071,19116551.0
170,16641119.0378,22287826.8957,19039476.0
171,16561727.1559,22280232.9843,18966394.8
172,16479609.074,22261065.6728,18890033.2
173,16398419.1921,22233084.8614,18813657.4
174,16316107.3102,22198213.65,18736628.5
175,16236541.7617,22167908.5886,18657441.4
176,16155692.6215,22138399.2272,18571409.0
177,16079823.0812,22105868.8438,18481012.0
178,16012427.6077,22066192.0562,18381426.7143
179,15928857.2008,22006163.92,18287270.5714
180,15849611.7939,21934180.64,18189462.2286
181,15772317.7203,21854731.36,18092767.2857
182,15686642.8468,21773256.48,17997820.1429
183,15606668.1732,21691745.4,17904544.0
184,15533185.9663,21618045.6,17811686.6
185,15457401.7594,21532847.6,17722513.0
186,15369052.1526,21444909.8,17637415.6
187,15278010.9457,21359421.4,17546740.8
188,15185754.9388,21270988.2,17454097.2
189,15093925.3319,21184159.8,17357939.0
190,15000381.525,21086563.0,17257858.0
191,14911314.0,20996833.8,17162598.8
192,14817361.875,20900963.4,17062934.6
193,14719136.15,20805733.4952,16973416.0
194,14630250.025,20708912.1905,16883182.0
195,14539967.9,20616155.2857,16797017.6
196,14449540.1292,20517003.7143,16715174.0
197,14359700.5585,20420214.3429,16627444.0
198,14277362.3877,20326882.7714,16541506.6
199,14186447.9614,20231304.0,16455498.8
200,14103252.1066,20135325.4571,16370888.6
201,14020004.6518,20046770.1143,16283598.4
202,13941012.797,19948547.7714,16198506.6
203,13858417.8755,19849318.9619,16114887.0
204,13780898.954,19753035.9524,16030553.0
205,13706411.4326,19651320.9429,15944731.6
206,13624704.3778,19552921.8,15862805.8
207,13547437.9515,19459143.3714,15781052.2
208,13472402.8503,19368244.7429,15696809.4
209,13398697.949,19270807.1143,15617998.8
210,13328892.1811,19176344.8857,15538644.8
211,13257292.0132,19078031.4571,15456588.4
212,13199353.312,18981047.0286,15376960.0
213,13132043.6107,18890458.4,15300659.4
214,13062447.7095,18802960.981,15222633.8
215,12989234.9416,18716842.7219,15148108.8
216,12925114.1959,18629621.4629,15080957.4
217,12853034.3702,18544516.4038,15007214.6
218,12788171.9445,18455180.1448,14931666.4
219,12730753.7188,18373063.4857,14859692.0
220,12663095.7431,18300179.4,14792107.6
221,12593746.8341,18224698.7143,14728867.6
222,12525616.6051,18156801.0952,14665684.8
223,12456441.3761,18084924.6762,14611156.6
224,12386705.1637,18018882.0905,14548396.4
225,12329124.3958,17955778.6381,14480937.4
226,12281799.6946,17889090.1857,14420754.4
227,12216255.66,17818096.1333,14357944.0
228,12154296.0254,17755249.3524,14304495.6
229,12086212.0242,17695023.5714,14248373.6
230,12018378.6229,17633661.4571,14202527.8
231,11951239.1217,17571292.7429,14145283.0
232,11892329.6205,17513403.6286,14092444.2
233,11832581.1192,17455168.1143,14039853.4
234,11780191.018,17396762.4,13993129.8
235,11731302.7167,17336899.4286,13954626.6
236,11683773.4155,17284762.4571,13919498.4
237,11641291.1143,17233885.8857,13885617.4
238,11595890.8797,17186843.1143,13850198.0
239,11550763.0451,17139059.3762,13811924.0
240,11513249.6105,17093413.6381,13771875.8
241,11470024.9093,17041472.2,13739046.4
242,11432597.008,16995124.5333,13702012.4
243,11400823.9068,16948289.0667,13669066.4
244,11367700.4056,16908577.9895,13636497.2
245,11326780.1043,16874637.7789,13608760.0
246,11296890.0697,16844464.7684,13577841.4
247,11266809.2352,16820494.1579,13542942.0
248,11236862.2006,16794803.8674,13510627.2
249,11205685.4708,16760725.7768,13484122.2
250,11178097.541,16729145.6863,13452338.0
251,11147196.6112,16699913.8291,13426065.0
252,11119140.748,16672676.5719,13393866.0
253,11098195.8849,16644981.9547,13356308.8
254,11085332.2217,16623557.9375,13325966.4
255,11059423.0919,16594438.5204,13302630.6
256,11040368.1907,16569134.1032,13281729.4
257,11013053.0894,16543532.486,13253282.2
258,10989573.1882,16516803.9088,13227678.0
259,10968873.7324,16493755.5316,13205646.8
260,10952760.2766,16466645.9544,13178525.2
261,10944913.7208,16448724.3772,13152295.6
262,10911961.765,16427174.9,13122932.0
